ticker,date,period_ending,estimate,reported,surprise,surprise%
AMSF,2024-10-23,2024-09-30,0.58,0.58,0,0
APG,2024-10-31,2024-09-30,0.51,0.51,0,0
AQST,2024-11-04,2024-09-30,-0.13,-0.13,0,0
AROW,2024-10-31,2024-09-30,0.53,0.53,0,0
ASTE,2024-11-06,2024-09-30,0.31,0.31,0,0
ATXS,2024-11-11,2024-09-30,-0.42,-0.42,0,0
AVY,2024-10-23,2024-09-30,2.33,2.33,0,0
BCBP,2024-10-18,2024-09-30,0.32,0.32,0,0
BLMN,2024-11-08,2024-09-30,0.21,0.21,0,0
BOOT,2024-10-28,2024-09-30,0.95,0.95,0,0
BSY,2024-11-07,2024-09-30,0.24,0.24,0,0
BV,2024-11-13,2024-09-30,0.3,0.3,0,0
CBRL,2024-12-04,2024-10-31,0.45,0.45,0,0
CCO,2024-10-31,2024-09-30,-0.06,-0.06,0,0
CDP,2024-10-28,2024-09-30,0.32,0.32,0,0
CIVI,2024-11-07,2024-09-30,1.99,1.99,0,0
CLBK,2024-10-24,2024-09-30,0.06,0.06,0,0
CLVT,2024-11-06,2024-09-30,0.19,0.19,0,0
CMCO,2024-10-30,2024-09-30,0.7,0.7,0,0
CNNE,2024-11-12,2024-09-30,-0.22,-0.22,0,0
CPRT,2024-11-14,2024-10-31,0.37,0.37,0,0
CRCT,2024-11-05,2024-09-30,0.05,0.05,0,0
CSGS,2024-11-06,2024-09-30,1.06,1.06,0,0
CTLP,2024-11-07,2024-09-30,0.04,0.04,0,0
CWST,2024-10-30,2024-09-30,0.27,0.27,0,0
DCGO,2024-11-07,2024-09-30,0.05,0.05,0,0
DEA,2024-11-05,2024-09-30,0.05,0.05,0,0
DNB,2024-10-31,2024-09-30,0.27,0.27,0,0
DNOW,2024-11-07,2024-09-30,0.21,0.21,0,0
DOX,2024-11-12,2024-09-30,1.7,1.7,0,0
EBF,2024-12-16,2024-11-30,0.39,0.39,0,0
EDIT,2024-11-01,2024-09-30,-0.75,-0.75,0,0
EGP,2024-10-23,2024-09-30,1.13,1.13,0,0
AVTE,2024-11-14,2024-09-30,-0.17,-0.56,-0.39,-229.4118
IWV,2024-10-23,2024-09-30,0,0,0,0
